sample,passage,replicate,MGMT
NHA,early,1,0.419171909
NHA,early,2,0.529489172
NHA,early,3,0.423475243
NHA,early,4,0.461671963
NHA,middle,1,0.361636338
NHA,middle,2,0.286841362
NHA,middle,3,0.341203689
NHA,late,1,0.3620559
NHA,late,2,0.40247989
NHA,late,3,0.279039096
NHA,late,4,0.261406599
GSC923,early,1,0.330216954
GSC923,early,2,0.205948131
GSC923,early,3,0.257535143
GSC923,early,4,0.242588345
GSC923,middle,1,0.125700952
GSC923,middle,2,0.046395351
GSC923,late,1,0.022808344
GSC923,late,2,0.016202222
GSC923,late,3,0.044791113
GSC923,late,4,0.051807244
DIPG17,early,1,0.521626323
DIPG17,early,2,0.522694179
DIPG17,early,3,0.463696009
DIPG17,middle,1,0.618207181
DIPG17,middle,2,0.628168723
DIPG17,middle,3,0.395434535
DIPG17,late,1,0.593348377
DIPG17,late,2,0.644386648
DIPG17,late,3,0.483754109
GSC274,early,1,0.926727743
GSC274,early,2,0.878604557
GSC274,early,3,0.886509945
GSC274,early,4,0.830714055
GSC274,middle,1,1.130674198
GSC274,middle,2,1.218147136
GSC274,middle,3,1.410503492
GSC274,middle,4,1.425342719
GSC274,late,1,1.253173046
GSC274,late,2,1.142875661
GSC274,late,3,1.055384035
GSC274,late,4,0.980120328
GSC403,early,1,0.405132141
GSC403,early,2,0.233400482
GSC403,early,3,0.359346206
GSC403,middle,1,1.053849539
GSC403,middle,2,1.052048881
GSC403,middle,3,1.010584211
GSC403,late,1,0.934101567
GSC403,late,2,0.832571663
GSC403,late,3,0.662662861
TS603,early,1,0.903398017
TS603,early,2,0.802346967
TS603,early,3,0.946985275
TS603,middle,1,0.771930343
TS603,middle,2,0.666874695
TS603,middle,3,0.648110801
TS603,late,1,0.74587665
TS603,late,2,0.682906654
TS603,late,3,0.452283126
MGG119,early,1,0.934645077
MGG119,early,2,1.04998217
MGG119,early,3,0.948495966
MGG119,early,4,0.882239938
MGG119,middle,1,1.042656266
MGG119,middle,2,1.207851045
MGG119,middle,3,0.949218625
MGG119,late,1,1.011698214
MGG119,late,2,0.888997538
MGG119,late,3,0.860502238
