sample,time,replicate,GAPDH,MGMT
GSC274,0,1,4544.468,2511.983
GSC274,0,3,6184.146,2546.69
GSC274,0,4,5994.004,2790.518
GSC274,24,1,6653.368,1795.205
GSC274,24,2,8157.681,2286.811
GSC274,24,3,14342.116,2122.154
GSC274,24,4,17795.652,2721.69
GSC274,48,1,8601.196,3635.761
GSC274,48,2,11333.167,3462.761
GSC274,48,3,15006.602,4179.711
GSC274,48,4,11216.217,4333.589
GSC274,72,1,12191.317,4001.761
GSC274,72,2,9770.267,2379.69
GSC274,72,3,7928.095,1959.154
GSC274,72,4,8001.853,2457.69
GSC923,0,2,18944.338,2329.619
GSC923,0,3,10836.409,1417.648
GSC923,0,4,11379.338,2082.619
GSC923,24,2,16235.459,2194.326
GSC923,24,3,23477.773,2240.205
GSC923,24,4,14871.702,3198.933
GSC923,48,2,14424.874,2304.811
GSC923,48,3,17870.338,2046.983
GSC923,48,4,20537.853,2407.64
GSC923,72,2,18205.267,1362.305
GSC923,72,3,22313.167,1946.033
GSC923,72,4,19592.56,1572.548
GSC403,0,1,7414.368,5107.832
GSC403,0,2,9707.56,5516.024
GSC403,0,3,11090.217,6332.267
GSC403,0,4,13334.016,10480.602
GSC403,24,1,13277.338,6196.681
GSC403,24,2,15047.095,6922.853
GSC403,24,3,19772.752,8419.752
GSC403,24,4,13708.602,6256.338
GSC403,48,1,20826.966,6178.631
GSC403,48,2,15885.823,6391.681
GSC403,48,3,13459.995,5024.953
GSC403,48,4,10300.217,3603.832
GSC403,72,2,9568.924,1994.619
GSC403,72,3,12677.581,3248.054
GSC403,72,4,15648.288,5129.489
NHA,0,2,21898.167,15638.066
NHA,0,3,21663.803,11606.116
NHA,0,4,18288.267,11608.045
NHA,24,2,16509.974,9005.631
NHA,24,3,15039.439,10717.095
NHA,24,4,15845.146,8881.803
NHA,48,2,16590.196,9439.095
NHA,48,3,21617.974,8473.439
NHA,48,4,20973.288,5692.61
NHA,72,2,19675.045,7686.803
NHA,72,3,18570.974,8034.803
NHA,72,4,23360.903,9191.217
TS603,0,2,10465.974,9858.217
TS603,0,3,9792.681,11660.874
TS603,0,4,12938.338,13982.652
TS603,24,2,14915.874,13017.116
TS603,24,3,12277.924,13701.773
TS603,24,4,13468.167,15735.309
TS603,48,2,12235.924,11485.652
TS603,48,3,10317.267,8335.803
TS603,48,4,9220.681,8775.217
TS603,72,2,6816.66,5654.731
TS603,72,3,8408.731,7332.267
TS603,72,4,16315.167,7079.853
MGG119,0,2,18533.116,16927.723
MGG119,0,3,18552.359,17028.187
MGG119,24,1,11487.874,12424.53
MGG119,24,2,4748.125,3524.882
MGG119,24,3,12816.874,10231.288
MGG119,48,1,12739.338,9890.459
MGG119,48,2,12558.974,10615.217
MGG119,48,4,14494.995,12678.823
MGG119,72,2,12517.51,9149.267
MGG119,72,3,12602.459,7770.388
MGG119,72,4,12882.995,9297.924
DIPG17,0,2,22035.731,17888.217
DIPG17,0,3,20632.782,15321.51
DIPG17,0,4,23881.702,18225.874
DIPG17,24,2,23791.217,14236.459
DIPG17,24,3,23339.146,15436.217
DIPG17,24,4,23922.196,14203.752
DIPG17,48,2,25337.095,14500.924
DIPG17,48,3,23178.024,15603.045
DIPG17,48,4,23862.267,11634.388
DIPG17,72,2,23385.731,8111.317
DIPG17,72,3,22141.196,10459.267
DIPG17,72,4,25586.368,11109.146
