sample,replicate,dose,dose_minus_log_molar,response
U251,1,0,1,13064
U251,2,0,1,18419
U251,3,0,1,17761
U251,4,0,1,17119
U251,5,0,1,16821
U251,6,0,1,16066
U251,7,0,1,16987
U251,8,0,1,19953
U251,9,0,1,16022
U251,10,0,1,16188
U251,11,0,1,17480
U251,12,0,1,15558
U251,13,0,1,18292
U251,1,25,0.998915619,9469
U251,2,25,0.998915619,8544
U251,3,25,0.998915619,11661
U251,4,25,0.998915619,8282
U251,5,25,0.998915619,6725
U251,6,25,0.998915619,6788
U251,7,25,0.998915619,6632
U251,8,25,0.998915619,11037
U251,9,25,0.998915619,7831
U251,10,25,0.998915619,12089
U251,11,25,0.998915619,11347
U251,12,25,0.998915619,11535
U251,13,25,0.998915619,7391
U251,1,50,0.997833938,8974
U251,2,50,0.997833938,7041
U251,3,50,0.997833938,11713
U251,4,50,0.997833938,12252
U251,5,50,0.997833938,11326
U251,6,50,0.997833938,12823
U251,7,50,0.997833938,10998
U251,8,50,0.997833938,6603
U251,9,50,0.997833938,7692
U251,10,50,0.997833938,6718
U251,11,50,0.997833938,7327
U251,12,50,0.997833938,8130
U251,13,50,0.997833938,9111
U251,1,100,0.995678626,7074
U251,2,100,0.995678626,9567
U251,3,100,0.995678626,9780
U251,4,100,0.995678626,12838
U251,5,100,0.995678626,11768
U251,6,100,0.995678626,10074
U251,7,100,0.995678626,10973
U251,8,100,0.995678626,11116
U251,9,100,0.995678626,13923
U251,10,100,0.995678626,10252
U251,11,100,0.995678626,8709
U251,12,100,0.995678626,12231
U251,13,100,0.995678626,8500
U251,1,200,0.991399828,6109
U251,2,200,0.991399828,8626
U251,3,200,0.991399828,8213
U251,4,200,0.991399828,6820
U251,5,200,0.991399828,6974
U251,6,200,0.991399828,9769
U251,7,200,0.991399828,7817
U251,8,200,0.991399828,9370
U251,9,200,0.991399828,9361
U251,10,200,0.991399828,10001
U251,11,200,0.991399828,10753
U251,12,200,0.991399828,11282
U251,13,200,0.991399828,11468
DIPG17,1,0,1,7018
DIPG17,2,0,1,6440
DIPG17,3,0,1,5598
DIPG17,4,0,1,7468
DIPG17,5,0,1,7982
DIPG17,6,0,1,8509
DIPG17,7,0,1,7993
DIPG17,8,0,1,7078
DIPG17,9,0,1,7549
DIPG17,10,0,1,6242
DIPG17,11,0,1,6837
DIPG17,12,0,1,6876
DIPG17,1,25,0.998915619,6732
DIPG17,2,25,0.998915619,6225
DIPG17,3,25,0.998915619,6033
DIPG17,4,25,0.998915619,6550
DIPG17,5,25,0.998915619,6163
DIPG17,6,25,0.998915619,6413
DIPG17,7,25,0.998915619,5604
DIPG17,8,25,0.998915619,6897
DIPG17,9,25,0.998915619,7020
DIPG17,10,25,0.998915619,7230
DIPG17,11,25,0.998915619,6566
DIPG17,12,25,0.998915619,6845
DIPG17,1,50,0.997833938,4325
DIPG17,2,50,0.997833938,3947
DIPG17,3,50,0.997833938,5113
DIPG17,4,50,0.997833938,5182
DIPG17,5,50,0.997833938,4764
DIPG17,6,50,0.997833938,4190
