sample,study,cohort,MGMT_mRNA
TCGA-DA-A95Z-06,SKCM,non-glioma,8.9066
TCGA-EE-A29D-06,SKCM,non-glioma,5.8046
TCGA-EE-A29V-06,SKCM,non-glioma,11.7499
TCGA-W3-AA1O-06,SKCM,non-glioma,9.7714
TCGA-EE-A2GJ-06,SKCM,non-glioma,7.2075
TCGA-3N-A9WC-06,SKCM,non-glioma,9.106
TCGA-3N-A9WD-06,SKCM,non-glioma,9.8119
TCGA-D9-A1JW-06,SKCM,non-glioma,9.9619
TCGA-EE-A2GC-06,SKCM,non-glioma,7.4752
TCGA-ER-A19F-06,SKCM,non-glioma,5.1829
TCGA-DA-A1IC-06,SKCM,non-glioma,6.1167
TCGA-EE-A2GP-06,SKCM,non-glioma,9.1291
TCGA-FS-A4F9-06,SKCM,non-glioma,10.428
TCGA-EE-A20I-06,SKCM,non-glioma,9.2225
TCGA-EE-A29S-06,SKCM,non-glioma,9.6457
TCGA-ER-A19A-06,SKCM,non-glioma,9.6543
TCGA-WE-A8K6-06,SKCM,non-glioma,9.9355
TCGA-EE-A29L-06,SKCM,non-glioma,7.5978
TCGA-EE-A29N-06,SKCM,non-glioma,7.6883
TCGA-EE-A2GR-06,SKCM,non-glioma,4.1367
TCGA-FR-A8YC-06,SKCM,non-glioma,5.4061
TCGA-GF-A6C9-06,SKCM,non-glioma,10.1761
TCGA-D3-A8GP-06,SKCM,non-glioma,4.859
TCGA-EE-A2GT-06,SKCM,non-glioma,8.5128
TCGA-ER-A19C-06,SKCM,non-glioma,9.1372
TCGA-RP-A693-06,SKCM,non-glioma,9.0023
TCGA-D3-A2J9-06,SKCM,non-glioma,8.7938
TCGA-EE-A3JE-06,SKCM,non-glioma,7.7071
TCGA-YD-A9TA-06,SKCM,non-glioma,9.1865
TCGA-D3-A2JF-06,SKCM,non-glioma,7.7886
TCGA-D3-A5GL-06,SKCM,non-glioma,9.9405
TCGA-FS-A1ZM-06,SKCM,non-glioma,6.9917
TCGA-WE-A8K1-06,SKCM,non-glioma,7.6725
TCGA-D3-A8GM-06,SKCM,non-glioma,7.5878
TCGA-EE-A2MC-06,SKCM,non-glioma,9.9905
TCGA-GN-A4U4-06,SKCM,non-glioma,5.4549
TCGA-QB-AA9O-06,SKCM,non-glioma,8.0077
TCGA-D3-A1Q9-06,SKCM,non-glioma,6.6574
TCGA-EE-A184-06,SKCM,non-glioma,5.9922
TCGA-EE-A2MS-06,SKCM,non-glioma,9.8332
TCGA-EE-A3J4-06,SKCM,non-glioma,5.9372
TCGA-3N-A9WB-06,SKCM,non-glioma,9.6195
TCGA-EB-A5UL-06,SKCM,non-glioma,9.6549
TCGA-EE-A2A2-06,SKCM,non-glioma,9.4386
TCGA-EE-A2MU-06,SKCM,non-glioma,9.6945
TCGA-EE-A3J5-06,SKCM,non-glioma,9.3454
TCGA-FS-A1ZY-06,SKCM,non-glioma,10.1052
TCGA-GN-A4U9-06,SKCM,non-glioma,9.0061
TCGA-RP-A694-06,SKCM,non-glioma,9.5485
TCGA-W3-AA1R-06,SKCM,non-glioma,10.9763
TCGA-D3-A3ML-06,SKCM,non-glioma,3.7843
TCGA-D9-A6EA-06,SKCM,non-glioma,7.361
TCGA-EE-A3JD-06,SKCM,non-glioma,7.5283
TCGA-GN-A8LK-06,SKCM,non-glioma,11.0215
TCGA-WE-A8JZ-06,SKCM,non-glioma,6.3129
TCGA-WE-A8ZM-06,SKCM,non-glioma,9.0284
TCGA-EE-A17Y-06,SKCM,non-glioma,6.2177
TCGA-EE-A180-06,SKCM,non-glioma,7.2542
TCGA-D3-A2JA-06,SKCM,non-glioma,8.1268
TCGA-D3-A2JH-06,SKCM,non-glioma,9.4055
TCGA-D3-A8GI-06,SKCM,non-glioma,11.3672
TCGA-DA-A95Y-06,SKCM,non-glioma,10.9232
TCGA-EE-A29A-06,SKCM,non-glioma,9.006
TCGA-FS-A1ZK-06,SKCM,non-glioma,8.7646
TCGA-FW-A3R5-06,SKCM,non-glioma,9.4219
TCGA-D3-A2J7-06,SKCM,non-glioma,6.892
TCGA-EE-A29B-06,SKCM,non-glioma,6.3835
TCGA-EE-A2GN-06,SKCM,non-glioma,9.2865
TCGA-D3-A8GQ-06,SKCM,non-glioma,8.7456
TCGA-D9-A3Z1-06,SKCM,non-glioma,7.9408
TCGA-EE-A2M7-06,SKCM,non-glioma,6.657
TCGA-EE-A2MH-06,SKCM,non-glioma,8.4599
TCGA-W3-A828-06,SKCM,non-glioma,9.2714
TCGA-D3-A2J6-06,SKCM,non-glioma,8.9006
TCGA-FS-A1ZW-06,SKCM,non-glioma,6.1178
